mGL-A,mGL-H,cond,replicate,sampleNum
1,78,Neg,1,1
22,64,Neg,1,1
113,84,Neg,0,1
74,65,Neg,1,1
54,98,Neg,1,1
53,77,Neg,2,1
93,77,Neg,1,1
26,67,Neg,0,1
39,115,Neg,0,1
36,86,Neg,1,1
48,88,Neg,1,1
2,69,Neg,1,1
16,46,Neg,0,1
50,64,Neg,1,1
66,94,Neg,0,1
108,74,Neg,1,1
98,78,Neg,1,1
106,93,Neg,0,1
14,62,Neg,0,1
30,53,Neg,0,1
58,64,Neg,0,1
86,91,Neg,1,1
47,108,Neg,0,1
12,63,Neg,0,1
38,80,Neg,0,1
18,57,Neg,1,1
39,65,Neg,1,1
39,98,Neg,0,1
1,27,Neg,2,1
152,62,Neg,0,1
207,92,Neg,2,1
183,122,Neg,0,1
70,90,Neg,2,1
60,96,Neg,0,1
5,54,Neg,0,1
15,48,Neg,0,1
54,95,Neg,2,1
81,60,Neg,1,1
34,66,Neg,0,1
33,70,Neg,2,1
69,75,Neg,1,1
192,99,Neg,0,1
97,119,Neg,1,1
95,92,Neg,0,1
66,64,Neg,0,1
98,81,Neg,1,1
73,102,Neg,1,1
15,50,Neg,2,1
13,53,Neg,1,1
29,77,Neg,1,1
9,79,Neg,1,1
62,52,Neg,2,1
20,55,Neg,1,1
56,97,Neg,1,1
18,44,Neg,0,1
68,75,Neg,0,1
2,69,Neg,1,1
91,40,Neg,2,1
41,82,Neg,0,1
37,60,Neg,0,1
58,69,Neg,1,1
23,80,Neg,1,1
57,72,Neg,0,1
55,59,Neg,1,1
14,71,Neg,1,1
49,101,Neg,1,1
74,68,Neg,2,1
97,75,Neg,0,1
74,84,Neg,0,1
63,90,Neg,0,1
21,72,Neg,1,1
2,42,Neg,0,1
11,76,Neg,1,1
49,66,Neg,2,1
32,62,Neg,0,1
100,74,Neg,2,1
55,62,Neg,0,1
123,109,Neg,2,1
69,56,Neg,2,1
1,88,Neg,0,1
25,101,Neg,0,1
91,58,Neg,1,1
83,63,Neg,2,1
64,55,Neg,0,1
115,82,Neg,2,1
106,83,Neg,0,1
51,58,Neg,0,1
106,71,Neg,0,1
271,108,Neg,1,1
159,82,Neg,0,1
24,121,Neg,1,1
35,90,Neg,0,1
47,82,Neg,0,1
111,73,Neg,1,1
50,65,Neg,0,1
153,83,Neg,1,1
21,79,Neg,2,1
43,102,Neg,0,1
90,85,Neg,0,1
92,81,Neg,2,1
15,62,Neg,0,1
66,104,Neg,0,1
77,81,Neg,1,1
84,65,Neg,2,1
31,74,Neg,0,1
65,72,Neg,1,1
186,80,Neg,2,1
61,52,Neg,0,1
146,75,Neg,2,1
59,88,Neg,0,1
63,82,Neg,0,1
85,66,Neg,1,1
103,58,Neg,0,1
32,62,Neg,1,1
61,71,Neg,0,1
72,60,Neg,1,1
150,90,Neg,0,1
24,98,Neg,0,1
50,59,Neg,0,1
10,57,Neg,0,1
49,56,Neg,0,1
108,131,Neg,0,1
169,89,Neg,0,1
43,76,Neg,0,1
28,74,Neg,0,1
51,88,Neg,0,1
25,61,Neg,0,1
17,54,Neg,2,1
26,94,Neg,0,1
13,50,Neg,1,1
102,68,Neg,0,1
89,67,Neg,0,1
159,57,Neg,2,1
56,64,Neg,1,1
108,86,Neg,1,1
33,45,Neg,0,1
62,74,Neg,1,1
9,76,Neg,2,1
108,95,Neg,0,1
68,50,Neg,0,1
66,63,Neg,1,1
60,85,Neg,0,1
18,68,Neg,1,1
83,93,Neg,0,1
81,87,Neg,0,1
136,101,Neg,0,1
31,54,Neg,1,1
26,58,Neg,1,1
33,69,Neg,0,1
62,92,Neg,2,1
16,74,Neg,0,1
60,122,Neg,0,1
5,76,Neg,0,1
5,55,Neg,0,1
172,83,Neg,1,1
56,81,Neg,0,1
28,86,Neg,0,1
48,92,Neg,2,1
75,89,Neg,0,1
52,69,Neg,2,1
182,101,Neg,0,1
63,99,Neg,0,1
83,96,Neg,0,1
45,76,Neg,0,1
95,60,Neg,0,1
14,47,Neg,0,1
31,56,Neg,0,1
173,100,Neg,1,1
110,87,Neg,0,1
5,78,Neg,1,1
35,75,Neg,1,1
10,46,Neg,1,1
49,72,Neg,0,1
27,66,Neg,0,1
24,71,Neg,1,1
37,110,Neg,0,1
42,83,Neg,0,1
23,53,Neg,1,1
279,101,Neg,2,1
100,60,Neg,1,1
90,86,Neg,1,1
17,78,Neg,2,1
149,101,Neg,1,1
12,73,Neg,0,1
95,66,Neg,0,1
30,67,Neg,2,1
25,108,Neg,2,1
21,58,Neg,1,1
23,59,Neg,2,1
120,105,Neg,2,1
65,68,Neg,1,1
36,37,Neg,1,1
87,60,Neg,1,1
76,70,Neg,1,1
222,174,Neg,2,1
49,59,Neg,0,1
110,76,Neg,1,1
12,56,Neg,1,1
107,111,Neg,2,1
125,84,Neg,2,1
127,68,Neg,0,1
91,75,Neg,0,1
7,72,Neg,2,1
139,76,Neg,0,1
52,45,Neg,1,1
74,53,Neg,2,1
41,57,Neg,2,1
61,41,Neg,0,1
161,84,Neg,0,1
25,97,Neg,0,1
48,48,Neg,0,1
66,60,Neg,0,1
130,127,Neg,0,1
106,68,Neg,0,1
163,88,Neg,0,1
45,47,Neg,0,1
154,73,Neg,1,1
57,67,Neg,0,1
38,70,Neg,0,1
20,44,Neg,0,1
92,68,Neg,0,1
76,65,Neg,0,1
69,96,Neg,0,1
75,95,Neg,0,1
38,56,Neg,0,1
137,75,Neg,1,1
82,99,Neg,0,1
45,88,Neg,0,1
63,83,Neg,0,1
44,66,Neg,1,1
79,62,Neg,0,1
29,58,Neg,0,1
24,65,Neg,0,1
138,83,Neg,0,1
202,79,Neg,0,1
69,62,Neg,1,1
122,87,Neg,0,1
38,98,Neg,0,1
52,52,Neg,0,1
187,86,Neg,2,1
22,82,Neg,1,1
104,74,Neg,0,1
102,59,Neg,2,1
6,81,Neg,0,1
26,50,Neg,1,1
21,47,Neg,1,1
42,67,Neg,0,1
55,77,Neg,1,1
70,68,Neg,2,1
33,96,Neg,1,1
24,80,Neg,0,1
96,88,Neg,0,1
94,71,Neg,0,1
21,69,Neg,2,1
40,55,Neg,1,1
107,99,Neg,1,1
101,94,Neg,0,1
82,103,Neg,2,1
132,84,Neg,0,1
15,50,Neg,0,1
144,135,Neg,0,1
56,92,Neg,0,1
122,99,Neg,0,1
14,60,Neg,1,1
3,66,Neg,1,1
109,57,Neg,1,1
90,61,Neg,2,1
124,90,Neg,0,1
100,77,Neg,0,1
146,77,Neg,0,1
27,63,Neg,0,1
10,60,Neg,0,1
17,48,Neg,0,1
46,103,Neg,2,1
121,110,Neg,0,1
86,92,Neg,2,1
11,48,Neg,1,1
26,61,Neg,0,1
30,68,Neg,0,1
78,73,Neg,1,1
24,56,Neg,0,1
151,101,Neg,2,1
