CFSE-A,sulfo-Cyanine5-A,replicate,sampleNum,cond
7064,11,1,0,CFSE_NaAz
239,83,0,0,CFSE_NaAz
2093,4,0,0,CFSE_NaAz
7539,72,0,0,CFSE_NaAz
9450,142,0,0,CFSE_NaAz
12922,172,0,0,CFSE_NaAz
1512,9,1,0,CFSE_NaAz
2078,53,0,0,CFSE_NaAz
5303,53,0,0,CFSE_NaAz
6217,48,0,0,CFSE_NaAz
2069,57,1,0,CFSE_NaAz
8175,14,1,0,CFSE_NaAz
1858,72,1,0,CFSE_NaAz
6067,47,0,0,CFSE_NaAz
3685,51,0,0,CFSE_NaAz
487,25,0,0,CFSE_NaAz
4444,23,0,0,CFSE_NaAz
6711,12,1,0,CFSE_NaAz
5402,16,0,0,CFSE_NaAz
8963,29,0,0,CFSE_NaAz
3940,9,0,0,CFSE_NaAz
3770,102,0,0,CFSE_NaAz
3356,5,0,0,CFSE_NaAz
1627,29,0,0,CFSE_NaAz
1580,81,0,0,CFSE_NaAz
16243,118,0,0,CFSE_NaAz
9644,53,1,0,CFSE_NaAz
805,9,0,0,CFSE_NaAz
1516,63,0,0,CFSE_NaAz
6034,123,0,0,CFSE_NaAz
10131,194,0,0,CFSE_NaAz
1224,47,0,0,CFSE_NaAz
22963,28,1,0,CFSE_NaAz
2926,69,0,0,CFSE_NaAz
23908,117,0,0,CFSE_NaAz
786,49,0,0,CFSE_NaAz
109,22,0,0,CFSE_NaAz
11133,68,0,0,CFSE_NaAz
3075,20,0,0,CFSE_NaAz
6693,26,0,0,CFSE_NaAz
5341,62,0,0,CFSE_NaAz
3240,19,0,0,CFSE_NaAz
3260,14,0,0,CFSE_NaAz
9094,51,1,0,CFSE_NaAz
9571,54,0,0,CFSE_NaAz
5337,69,0,0,CFSE_NaAz
13337,102,1,0,CFSE_NaAz
683,53,1,0,CFSE_NaAz
7604,21,1,0,CFSE_NaAz
5670,64,0,0,CFSE_NaAz
11909,19,1,0,CFSE_NaAz
1147,15,0,0,CFSE_NaAz
328,33,0,0,CFSE_NaAz
2286,96,0,0,CFSE_NaAz
50126,153,0,0,CFSE_NaAz
618,28,0,0,CFSE_NaAz
3743,50,0,0,CFSE_NaAz
4260,38,1,0,CFSE_NaAz
3700,11,1,0,CFSE_NaAz
5188,25,0,0,CFSE_NaAz
2245,63,0,0,CFSE_NaAz
11396,30,0,0,CFSE_NaAz
2154,12,0,0,CFSE_NaAz
4100,67,0,0,CFSE_NaAz
3470,14,0,0,CFSE_NaAz
1914,139,0,0,CFSE_NaAz
1737,2,0,0,CFSE_NaAz
2634,47,0,0,CFSE_NaAz
5029,28,1,0,CFSE_NaAz
1149,76,0,0,CFSE_NaAz
14566,148,1,0,CFSE_NaAz
4810,19,0,0,CFSE_NaAz
9300,2,0,0,CFSE_NaAz
4043,50,0,0,CFSE_NaAz
3754,6,0,0,CFSE_NaAz
7315,60,0,0,CFSE_NaAz
2090,88,1,0,CFSE_NaAz
945,21,1,0,CFSE_NaAz
463,7,0,0,CFSE_NaAz
1136,45,0,0,CFSE_NaAz
2105,3,1,0,CFSE_NaAz
6896,48,0,0,CFSE_NaAz
6746,17,0,0,CFSE_NaAz
1119,66,1,0,CFSE_NaAz
14208,6,1,0,CFSE_NaAz
3496,3,1,0,CFSE_NaAz
5238,53,0,0,CFSE_NaAz
1096,73,0,0,CFSE_NaAz
4072,9,1,0,CFSE_NaAz
5086,29,0,0,CFSE_NaAz
5972,24,0,0,CFSE_NaAz
16579,102,0,0,CFSE_NaAz
3875,108,0,0,CFSE_NaAz
1149,37,0,0,CFSE_NaAz
2197,45,0,0,CFSE_NaAz
5172,62,0,0,CFSE_NaAz
17786,172,0,0,CFSE_NaAz
7602,105,0,0,CFSE_NaAz
4096,19,0,0,CFSE_NaAz
2625,38,0,0,CFSE_NaAz
1822,19,0,0,CFSE_NaAz
